,100%,25%,22%,19%,16%,13%,10%,7%,4%,1%,10 best
commit,502284865,208690036,199883665,189670954,178152668,164005529,146159676,122873709,93369401,39492783,107941
commit_comment,3422105,2183772,2119784,2043777,1959978,1845159,1696279,1500960,1217832,566646,1435
forked,14664799,5229716,4940084,4601049,4220847,3778149,3253914,2605050,1816848,642165,692
issue_assignee,36672569,1678672,1609048,1533378,1435992,1320443,1168304,973001,729335,322552,427
issue_comment,62478002,42921851,41698444,40364374,38848046,36921662,34290293,30896614,25921331,14025246,40724
issue_reporter,36672569,10440287,10037342,9588583,9068302,8408844,7583513,6512953,4764984,2186028,4235
pull,39512989,20755030,19997862,19098225,18079758,16781906,15103606,12945700,9549031,4129509,10250
pull_comment,10019022,7706993,7523420,7297286,7043038,6688960,6229458,5460781,4554476,2154402,6446
sum,705726920,299606357,287809649,274197626,258808629,239750652,215485043,183768768,141923238,63519331,172150
