,100%,25%,22%,19%,16%,13%,10%,7%,4%,1%,10 best
commit,71.17%,69.65%,69.45%,69.17%,68.84%,68.41%,67.83%,66.86%,65.79%,62.17%,62.70%
commit_comment,0.48%,0.73%,0.74%,0.75%,0.76%,0.77%,0.79%,0.82%,0.86%,0.89%,0.83%
forked,2.08%,1.75%,1.72%,1.68%,1.63%,1.58%,1.51%,1.42%,1.28%,1.01%,0.40%
issue_assignee,5.20%,0.56%,0.56%,0.56%,0.55%,0.55%,0.54%,0.53%,0.51%,0.51%,0.25%
issue_comment,8.85%,14.33%,14.49%,14.72%,15.01%,15.40%,15.91%,16.81%,18.26%,22.08%,23.66%
issue_reporter,5.20%,3.48%,3.49%,3.50%,3.50%,3.51%,3.52%,3.54%,3.36%,3.44%,2.46%
pull,5.60%,6.93%,6.95%,6.97%,6.99%,7.00%,7.01%,7.04%,6.73%,6.50%,5.95%
pull_comment,1.42%,2.57%,2.61%,2.66%,2.72%,2.79%,2.89%,2.97%,3.21%,3.39%,3.74%
sum,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
