language,fact_name,9/1/2013,10/1/2013,11/1/2013,12/1/2013,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015,12/1/2015,1/1/2016,2/1/2016,3/1/2016,4/1/2016,5/1/2016,6/1/2016,7/1/2016,8/1/2016,9/1/2016,,
1C Enterprise,commit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,93,up,down
1C Enterprise,commit_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,down,
1C Enterprise,forked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,up,
1C Enterprise,issue_assignee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,down,
1C Enterprise,issue_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,down,
1C Enterprise,issue_reporter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,down,
1C Enterprise,pull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,down,
1C Enterprise,pull_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,down,
1C Enterprise,watchers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,down,
ABAP,commit,8,7,13,4,26,9,19,8,21,44,151,36,58,69,92,105,36,47,118,124,100,84,136,89,113,108,241,154,234,236,132,58,213,207,196,191,383,up,up
ABAP,commit_comment,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,4,0,1,0,0,1,0,1,3,0,1,0,0,1,8,down,
ABAP,forked,1,2,2,1,0,11,4,2,1,0,1,0,1,2,0,5,0,1,5,9,5,2,2,1,3,1,3,2,3,5,7,3,4,26,9,15,19,up,
ABAP,issue_assignee,0,1,1,0,0,0,1,0,0,1,9,1,29,25,17,43,15,16,13,30,13,37,40,37,27,23,33,25,54,49,42,17,39,64,32,22,80,up,
ABAP,issue_comment,0,0,1,0,0,0,0,0,0,0,3,0,4,8,5,19,6,10,24,13,0,15,38,35,17,15,22,39,64,124,107,29,133,120,74,35,342,up,
ABAP,issue_reporter,0,1,1,0,0,0,1,0,0,1,9,1,29,25,17,43,15,16,13,30,13,37,40,37,27,23,33,25,54,49,42,17,39,64,32,22,80,up,
ABAP,pull,0,0,3,0,0,0,1,0,0,0,4,0,0,5,3,5,0,0,2,9,0,0,2,0,16,1,24,12,10,18,29,2,29,17,17,13,67,up,
ABAP,pull_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,2,down,
ABAP,watchers,0,1,3,1,4,27,12,2,1,5,6,8,12,18,3,5,6,20,22,9,14,4,11,11,12,19,34,15,15,30,25,16,11,36,15,33,11,up,
AGS Script,commit,275,437,705,401,434,483,540,462,572,287,312,289,741,1459,1156,651,560,374,386,617,211,483,340,264,606,475,249,282,357,321,407,335,386,211,213,340,352,down,down
AGS Script,commit_comment,13,0,8,0,0,2,2,0,0,0,0,2,1,82,29,3,2,3,5,3,0,4,2,2,10,4,2,2,9,0,3,1,3,11,0,0,0,down,
AGS Script,forked,0,1,0,1,0,1,3,1,4,0,3,7,15,32,33,72,82,54,20,31,21,25,11,7,6,5,3,2,2,5,5,6,9,14,16,14,20,up,
AGS Script,issue_assignee,0,5,13,2,2,10,16,5,7,6,12,27,16,211,39,16,39,32,33,18,11,20,14,13,16,27,4,4,15,9,26,13,8,13,1,11,9,down,
AGS Script,issue_comment,1,2,4,5,2,14,4,5,11,15,16,7,9,24,9,16,18,26,38,34,21,17,21,9,34,20,4,1,34,44,8,17,9,35,0,3,13,down,
AGS Script,issue_reporter,0,5,13,2,2,10,16,5,7,6,12,27,16,211,39,16,39,32,33,18,11,20,14,13,16,27,4,4,15,9,26,13,8,13,1,11,9,down,
AGS Script,pull,0,9,2,1,5,4,6,6,3,11,7,4,28,430,82,25,48,20,4,13,4,0,9,10,23,26,3,3,3,6,41,15,9,13,0,8,19,down,
AGS Script,pull_comment,0,0,0,0,0,0,15,0,0,0,0,0,0,0,63,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,down,
AGS Script,watchers,3,6,5,7,8,3,5,23,14,35,15,25,26,47,30,36,48,48,28,35,30,37,50,36,36,41,43,48,61,70,54,37,40,41,36,39,32,up,
AMPL,commit,44,68,67,66,89,64,208,110,28,37,29,64,41,111,53,93,285,171,162,240,405,292,622,241,283,483,569,528,754,739,706,530,596,473,422,519,372,up,up
AMPL,commit_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,22,3,2,0,1,2,12,0,1,6,3,8,6,5,0,2,0,0,2,0,down,
AMPL,forked,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,2,1,2,3,4,3,0,2,1,5,7,16,17,9,8,11,up,
AMPL,issue_assignee,2,2,2,3,4,3,6,5,1,2,3,6,6,4,5,2,33,27,22,23,7,8,17,4,45,28,17,25,31,28,29,34,50,124,40,19,29,up,
AMPL,issue_comment,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,185,105,78,35,11,4,5,5,16,31,19,18,20,5,14,39,50,216,26,15,49,up,
AMPL,issue_reporter,2,2,2,3,4,3,6,5,1,2,3,6,6,4,5,2,33,27,22,23,7,8,17,4,45,28,17,25,31,28,29,34,50,124,40,19,29,up,
AMPL,pull,6,6,6,9,11,7,12,5,2,6,7,13,18,8,12,2,27,22,21,38,0,10,27,8,8,34,30,10,35,55,37,20,61,105,25,29,22,up,
AMPL,pull_comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,11,0,0,0,0,27,3,0,1,0,0,0,1,21,9,0,0,1,down,
