language,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09
JavaScript,1154856,1416759,691737,1394213,1576983,1603208,1878154,1964699,1694434,2025171,2127982,2091269,1907059,2305029,2295645,2382721,2637816,2683791,2994107,3044936,2982588,3060903,2841324,3093978,3332493,3566933,3407114,3605055,4045648,3470147,3212092,3283986,3035780,2616965,2402320,3357557,3038299
Java,771731,990002,494611,972530,1052041,1061569,1293415,1308961,1126686,1230831,1226669,1162154,1142222,1481725,1541552,1518778,1619856,1595874,2105128,2105001,2077050,1990011,1678688,1793960,2000170,2230748,2190199,2199898,2303466,1944745,1927803,1979062,1780101,1535735,1397331,1784954,1631605
Python,705626,853811,429258,785173,906546,1020562,1097369,1082497,970587,1144569,1227791,1185901,1073639,1301729,1223709,1271466,1426079,1461551,1679219,1682764,1596332,1633831,2052420,1690650,1707719,1828585,1718643,1797963,1928080,1814192,1760994,1748026,1682068,1461689,1342913,1797553,1649818
Ruby,633194,793607,414056,725821,789114,781843,886845,867450,757482,882739,908033,857533,793604,946543,865560,891713,997385,1003593,1122436,1061040,1016156,1063788,965053,1017522,1084575,1187937,1116097,1082812,1226792,1106495,1003609,982523,912559,737270,674683,945542,814696
PHP,569049,709799,375785,667959,766939,777025,868691,830905,715227,825142,877120,861648,779470,957898,945745,951167,1035734,1034252,1181649,1140217,1120886,1115478,1009046,1076920,1186579,1188755,1121671,1220818,1276723,1144475,1056813,1043169,986582,818924,702118,969393,885233
C++,449129,533964,284163,547334,590309,596918,677872,664379,608485,678590,708502,684048,642297,793063,806804,836200,864155,843680,1015571,1007663,980319,960855,879450,959882,961227,1033161,992095,1063964,1116485,1005530,991095,995549,960916,796666,684117,914878,855003
C,416876,484739,304642,485365,544404,535527,582396,569860,507010,570203,579672,534824,495108,612998,614474,632575,675644,640879,775486,741064,741286,709235,627986,821400,724351,784575,742622,795269,825150,745980,750695,725647,701540,603583,511472,645501,598052
CSS,308579,424854,58775,401776,442373,475496,585575,562017,474676,573998,672837,619093,548489,740958,654816,650487,752578,669273,718694,690685,711346,724036,633278,715022,774444,824053,761517,810079,959556,800438,718777,741412,695947,557467,515434,713810,710538
HTML,203204,255580,66646,214631,227228,215710,255628,274590,277302,323656,361942,394772,369360,495110,494892,543740,673523,879762,1211143,1204538,1208146,1170990,1087799,1228652,1369111,1477868,1401597,1439839,1744257,1525791,1316348,1377205,1239217,958484,855784,1312969,1148554
Shell,172940,235509,101817,235457,250412,250568,282648,271774,248939,281734,297689,292967,265860,545044,306556,331115,393534,364445,477852,435109,427415,436951,415596,536901,568774,608529,532153,533131,691780,662636,695159,678281,659248,587011,509843,699307,669627
C#,154872,207276,94969,199222,236888,228808,272671,284439,262809,286343,302860,305212,269459,358793,376018,375441,449832,440649,537734,558763,569888,515667,459812,528189,568011,649511,611177,655622,721655,567371,549678,584377,530339,435022,417175,640779,493692
Objective-C,132895,169279,93002,155541,176056,178163,215759,240537,204031,212776,244476,229947,182169,230578,224427,224824,246459,239929,289761,308301,288506,290803,266279,298012,305535,305027,304345,311928,310294,243413,255346,251704,235720,222351,212486,245717,210995
Perl,73007,81154,44696,71770,78396,75463,92735,82635,77239,84528,90765,102495,83332,91545,88015,94135,109533,94356,107986,95305,91341,97232,82013,91913,91350,96361,87779,89257,96231,97015,86027,86537,84749,73461,57922,74876,71345
